Ticker,Date/Time,Open,High,Low,Close,Volume,ZigZag05,ZigZag10,ZigZag15
S50IF_CONOI,05/08/2019 16:15:00,1095.6000,1095.7000,1093.7000,1094.7000,8380.0000,1087.0889,1085.1835,1085.0088
S50IF_CONOI,05/08/2019 16:30:00,1094.7000,1095.4000,1093.6000,1095.1000,9172.0000,1086.1926,1084.9224,1084.8058
S50IF_CONOI,05/08/2019 16:45:00,1095.1000,1095.2000,1091.8000,1091.8000,7750.0000,1085.2963,1084.6611,1084.6029
S50IF_CONOI,06/08/2019 09:45:00,1080.2000,1084.5000,1080.1000,1084.4000,20961.0000,1084.4000,1084.4000,1084.4000
S50IF_CONOI,06/08/2019 10:00:00,1084.4000,1086.0000,1082.7000,1085.7000,14086.0000,1084.8972,1084.8972,1084.8972
S50IF_CONOI,06/08/2019 10:15:00,1085.6000,1087.0000,1085.0000,1086.5000,9409.0000,1085.3943,1085.3943,1085.3943
S50IF_CONOI,06/08/2019 10:30:00,1086.5000,1089.6000,1085.8000,1089.0000,13910.0000,1085.8915,1085.8915,1085.8915
S50IF_CONOI,06/08/2019 10:45:00,1089.0000,1091.6000,1088.8000,1091.2000,15598.0000,1086.3885,1086.3885,1086.3885
S50IF_CONOI,06/08/2019 11:00:00,1091.2000,1095.8000,1089.6000,1094.9000,17151.0000,1086.8857,1086.8857,1086.8857
S50IF_CONOI,06/08/2019 11:15:00,1094.9000,1097.0000,1091.9000,1092.2000,16313.0000,1087.3829,1087.3829,1087.3829
S50IF_CONOI,06/08/2019 11:30:00,1092.2000,1093.5000,1091.2000,1091.4000,6938.0000,1087.8800,1087.8800,1087.8800
S50IF_CONOI,06/08/2019 11:45:00,1091.4000,1092.9000,1091.1000,1092.4000,3672.0000,1088.3772,1088.3772,1088.3772
S50IF_CONOI,06/08/2019 12:00:00,1092.3000,1096.0000,1092.2000,1096.0000,8081.0000,1088.8743,1088.8743,1088.8743
S50IF_CONOI,06/08/2019 12:15:00,1096.0000,1097.0000,1095.2000,1095.8000,7286.0000,1089.3715,1089.3715,1089.3715
S50IF_CONOI,06/08/2019 14:15:00,1096.3000,1098.3000,1094.2000,1094.9000,9827.0000,1089.8687,1089.8687,1089.8687
S50IF_CONOI,06/08/2019 14:30:00,1094.8000,1096.4000,1094.3000,1094.6000,7354.0000,1090.3657,1090.3657,1090.3657
S50IF_CONOI,06/08/2019 14:45:00,1094.6000,1095.5000,1091.9000,1094.8000,11359.0000,1090.8629,1090.8629,1090.8629
S50IF_CONOI,06/08/2019 15:00:00,1094.8000,1095.2000,1093.3000,1094.5000,5248.0000,1091.3600,1091.3600,1091.3600
S50IF_CONOI,06/08/2019 15:15:00,1094.5000,1097.5000,1094.1000,1097.0000,8730.0000,1091.8572,1091.8572,1091.8572
S50IF_CONOI,06/08/2019 15:30:00,1097.0000,1098.0000,1096.0000,1097.3000,10111.0000,1092.3544,1092.3544,1092.3544
S50IF_CONOI,06/08/2019 15:45:00,1097.2000,1098.0000,1096.4000,1096.8000,7471.0000,1092.8514,1092.8514,1092.8514
S50IF_CONOI,06/08/2019 16:00:00,1096.7000,1097.0000,1095.6000,1096.3000,4827.0000,1093.3486,1093.3486,1093.3486
S50IF_CONOI,06/08/2019 16:15:00,1096.3000,1098.6000,1096.3000,1097.5000,7186.0000,1093.8457,1093.8457,1093.8457
S50IF_CONOI,06/08/2019 16:30:00,1097.5000,1098.4000,1096.9000,1097.7000,6323.0000,1094.3429,1094.3429,1094.3429
S50IF_CONOI,06/08/2019 16:45:00,1097.6000,1098.2000,1097.2000,1098.0000,7174.0000,1094.8401,1094.8401,1094.8401
S50IF_CONOI,07/08/2019 09:45:00,1093.6000,1097.0000,1092.8000,1096.6000,15079.0000,1095.3372,1095.3372,1095.3372
